"Variable","Coefficient","Std_Error","t_value","p_value","Significance"
"(Intercept)",-0.00984019060809611,0.00252282408445071,-3.9004664133126,9.61904965282541e-05,"***"
"academic_performance",0.0410033285508043,0.00246110132251032,16.6605609349643,4.45215250826434e-62,"***"
"house_environment",0.0611378620241039,0.00245546621819137,24.8986777220403,1.23613567835697e-135,"***"
"control_predictor_trad",0.0391931966611192,0.00138883556058803,28.220185148863,3.1743438691935e-173,"***"
"gender_f_Female",0.128151646020873,0.0022856345385686,56.0683013221919,0,"***"
"urban_rural_f_Rural",-0.021023538687415,0.0023107967305337,-9.09796106668344,9.68655354990049e-20,"***"
"work_type_f_Business",-0.0168247435197904,0.00250731698143969,-6.71025787498546,1.97299130806895e-11,"***"
"R-squared",0.177804620730454,NA,NA,NA,""
"Adj. R-squared",0.177660775497166,NA,NA,NA,""
"F-statistic",1236.08281391063,NA,NA,NA,""
"Observations",34302,NA,NA,NA,""
