"Variable","Coefficient","Std_Error","t_value","p_value","Significance"
"(Intercept)",0.0127121516057689,0.0014056778888683,9.04343143364323,1.59592069344171e-19,"***"
"academic_performance",0.0368515067079576,0.00279451510898013,13.1870844389196,1.30049894100467e-39,"***"
"relation_with_school",-0.00130150056962366,0.00937864285820491,-0.138772804264004,0.889630499872648,""
"child_relation_with_school",-0.0458246573562999,0.0136861949858974,-3.34823940500034,0.00081414217909538,"***"
"school_type",-0.0126501085744608,0.00531714769475544,-2.37911551468435,0.0173596751824537,"*"
"house_environment",0.0820863641950965,0.00254013574918598,32.3157391180381,1.03357125295547e-225,"***"
"control_predictor_trad",0.0219788537560623,0.00139878913555227,15.7127712801291,1.93115375331561e-55,"***"
"R-squared",0.098855858388382,NA,NA,NA,""
"Adj. R-squared",0.0986982008625132,NA,NA,NA,""
"F-statistic",627.029111636971,NA,NA,NA,""
"Observations",34302,NA,NA,NA,""
